transaction_id,payment_time,payer_id,payee_id,payment_amount,payment_currency,payment_method,payment_purpose,vendor_id,payee_country,vendor_country,vendor_industry,approval_status,reject_reason
ba2ec603-c16b-4e1a-943a-47060e42f496,50:32.2,COMP0030,PAYEE0319,22755.21,GBP,Check,Marketing Campaign,VEND0390,Canada,Canada,Manufacturing,REJECTED,High Value Transaction 
69914af4-da34-4835-a06b-872ed63abb4b,55:32.2,COMP0093,NEWPAYEE001,685.03,USD,ACH,Unusual Transfer - Review Required,VEND0197,Japan,Japan,Art & Antiques Dealers,REJECTED,New Payee 
4f60619a-6139-4a77-b8de-9c052cbda97f,02:02.2,COMP0008,PAYEE0193,352.27,CAD,Bank Transfer,Research & Development,VEND0320,Australia,UK,Automotive,REJECTED,Off-cycle Payment
eeebbcb1-ad06-4405-81e8-be4eeb388fc8,25:29.2,COMP0054,PAYEE0486,1550.88,EUR,Check,Rent Payment,VEND0052,Germany,Japan,Logistics,REJECTED,Off-cycle Payment 
aa97aa2f-71e8-48f6-94f6-cefddc93f440,11:32.2,COMP0013,PAYEE0302,824.98,EUR,Check,Research & Development,VEND0347,Germany,USA,Energy,APPROVED,
348f5bce-e076-45bc-838e-703faae60a9d,52:32.2,COMP0060,PAYEE0417,1437.85,CAD,Wire,Unusual Transfer - Review Required,VEND0290,Brazil,India,Cannabis Industry,REJECTED,Mismatched Currency 
b58a068a-2aa8-45df-ac15-d23ddaaad34b,21:32.2,COMP0085,PAYEE0074,1801.12,CAD,Check,IT Support,VEND0228,USA,UK,Offshore Banking,REJECTED,Multiple Payments in 24h
e9e660e4-60cb-4fc0-a60f-c3329c4133bb,30:32.2,COMP0028,PAYEE0183,1894.21,JPY,Wire,Maintenance Services,VEND0253,UK,India,Art & Antiques Dealers,REJECTED,Higher than avg amount
5ec83fed-ca43-45ed-a9f9-6d6c5cd66e98,59:32.2,COMP0016,PAYEE0229,3474.95,GBP,Wire,Maintenance Services,VEND0307,India,Australia,Logistics,REJECTED,Higher than avg amount
f2e7db7a-6e5c-4446-8e7d-35bde1962b26,18:32.2,COMP0032,PAYEE0415,5924.68,JPY,Bank Transfer,Legal Fees,VEND0375,Brazil,India,Education,REJECTED,Higher than avg amount
c1ffa3f9-146e-46fb-985c-dc72e004b9d2,41:32.2,COMP0098,PAYEE0076,770.91,JPY,Credit Card,Rent Payment,VEND0232,China,India,Shell Corporations,REJECTED,Unusual Transfer 
9fa78abd-361e-4a3c-90fc-0346866fdce8,50:32.2,COMP0030,PAYEE0370,287.51,EUR,Bank Transfer,Professional Development,VEND0294,Canada,UK,Precious Metals Trading,APPROVED,
a0d7bfe1-98c3-4b1d-b355-e7980b659a2a,45:32.2,COMP0100,PAYEE0254,1048.8,CAD,Bank Transfer,Maintenance Services,VEND0204,UK,USA,Cannabis Industry,APPROVED,
47732f86-0617-436e-abc0-b68cd40d474d,02:32.2,COMP0052,PAYEE0058,878.98,USD,Wire,Rent Payment,VEND0286,France,India,Energy,APPROVED,
89c2a230-545d-4c5b-a5fc-e419d38b0878,24:32.2,COMP0038,PAYEE0174,815.29,JPY,Wire,Marketing Campaign,VEND0010,Germany,Germany,Cannabis Industry,APPROVED,
cffe0e5d-a850-4e49-b09d-ab6b1d5665c0,51:32.2,COMP0026,PAYEE0338,928.48,CAD,Credit Card,Maintenance Services,VEND0150,UK,USA,Retail,APPROVED,
d329a020-2bb5-476c-bec1-9b29543ec5ce,21:32.2,COMP0060,PAYEE0110,444.66,GBP,Wire,Rent Payment,VEND0014,France,Japan,Arms Dealing,APPROVED,
a9f25f73-d29f-467e-991c-cc17fdbe2fe5,45:32.2,COMP0090,PAYEE0016,1618.58,GBP,Wire,Unusual Transfer - Review Required,VEND0061,Canada,Germany,Manufacturing,APPROVED,
862cdc66-aff8-45b9-bd35-30a63587c1e6,52:32.2,COMP0005,PAYEE0226,886.62,JPY,Check,Cloud Hosting,VEND0391,Germany,Japan,Education,APPROVED,
cd284343-8d06-4715-841e-7d70a700c3e8,00:32.2,COMP0099,PAYEE0344,674.78,GBP,ACH,Consulting Services,VEND0436,France,Australia,Logistics,APPROVED,
bfb15917-8f50-4a04-972d-7be65339a72c,12:32.2,COMP0019,PAYEE0471,676.89,EUR,Wire,Rent Payment,VEND0444,Canada,UK,Cryptocurrency Trading,APPROVED,
c8901d49-a8be-4b4a-84a9-6e16f70303ee,08:32.2,COMP0070,PAYEE0208,918.89,USD,ACH,Unusual Transfer - Review Required,VEND0071,India,USA,Cryptocurrency Trading,APPROVED,
4b5898e0-4a14-45bf-990e-b0ad88a76081,20:32.2,COMP0075,PAYEE0500,1811.15,GBP,Check,Payroll,VEND0059,China,Brazil,Technology,APPROVED,
6aba00d4-2b8b-48d7-8299-49c4286b3b13,50:32.2,COMP0087,PAYEE0241,1809.62,USD,Credit Card,Consulting Services,VEND0476,France,Japan,Cannabis Industry,APPROVED,
a5b3cfe6-8b55-4b22-8af8-124c13d54741,35:32.2,COMP0030,PAYEE0098,236.34,EUR,ACH,Utilities,VEND0245,Brazil,China,Online Gambling,APPROVED,
9ea35c94-2287-43ed-acf8-d13979ed7d1e,45:32.2,COMP0053,PAYEE0049,727.37,GBP,ACH,Unusual Transfer - Review Required,VEND0456,Germany,Japan,Real Estate,APPROVED,
d870c21e-3b2b-421e-ac4a-471eec679757,49:32.2,COMP0049,PAYEE0093,867.7,GBP,Check,Office Supplies,VEND0302,China,Australia,Real Estate,APPROVED,
117aad80-e372-40df-9005-94fb1e0c03b5,54:32.2,COMP0078,PAYEE0029,383.33,GBP,Check,Rent Payment,VEND0209,China,USA,Healthcare,APPROVED,
09509c65-fd3e-43fd-ac05-240229c8c8fb,40:32.2,COMP0085,PAYEE0100,1232.12,GBP,Bank Transfer,Software License,VEND0428,Canada,Australia,Cannabis Industry,APPROVED,
98343a1f-7fbc-4946-b05b-a002d063e1a8,22:32.2,COMP0016,PAYEE0306,300.5,JPY,Credit Card,Legal Fees,VEND0179,Germany,USA,Technology,APPROVED,
4e1f855b-530c-4c10-b28b-4d0ae86191a8,18:32.2,COMP0064,PAYEE0124,680.76,EUR,Check,Maintenance Services,VEND0482,UK,China,Energy,APPROVED,
f1eb76d6-94cb-4b93-ab4c-ad8b15b3ca8e,15:32.2,COMP0037,PAYEE0136,204.15,CAD,Wire,Payroll,VEND0412,Brazil,Brazil,Offshore Banking,APPROVED,
108721c6-3dbe-46b9-806a-9de96e2b9561,12:32.2,COMP0052,PAYEE0215,1119.87,USD,ACH,Consulting Services,VEND0429,France,Japan,Logistics,APPROVED,
7fb7e236-e1b6-4203-9c61-987bbacf77cc,25:32.2,COMP0068,PAYEE0385,1275.79,JPY,Credit Card,Consulting Services,VEND0145,France,France,Cryptocurrency Trading,APPROVED,
7c1d6341-acf9-42fd-b2da-8b4c6c0ea7b0,44:32.2,COMP0023,PAYEE0417,1382.52,GBP,Check,Research & Development,VEND0154,USA,Japan,Finance,APPROVED,
10b2c788-74fc-46b8-b1ce-30a5edc9a7aa,08:32.2,COMP0039,PAYEE0259,810.81,CAD,Wire,Software License,VEND0047,Brazil,USA,Logistics,APPROVED,
5f9874d0-1b63-4899-93a1-637ff007b47f,20:32.2,COMP0078,PAYEE0122,1079.66,GBP,Wire,Legal Fees,VEND0030,Japan,Germany,Technology,APPROVED,
053e91de-90f6-424c-9d03-66268fb12c80,59:32.2,COMP0077,PAYEE0174,541.46,CAD,Check,Travel Expenses,VEND0209,Germany,Australia,Art & Antiques Dealers,APPROVED,
02837349-a074-44c1-8389-de7b1590aa0b,35:32.2,COMP0041,PAYEE0329,410.43,CAD,Credit Card,Unusual Transfer - Review Required,VEND0262,India,France,Real Estate,APPROVED,
70e59a5c-7d51-47ed-a9bb-9517e99e6e00,41:32.2,COMP0030,PAYEE0066,50.11,JPY,Wire,Unusual Transfer - Review Required,VEND0402,UK,China,Real Estate,APPROVED,
e3dced39-1497-4d74-a4d8-8bd8e614da66,10:32.2,COMP0082,PAYEE0193,149.54,EUR,Credit Card,Utilities,VEND0212,Australia,Australia,Technology,APPROVED,
079986a2-929a-4cc8-837f-c51450f22194,19:32.2,COMP0092,PAYEE0462,1468.43,EUR,ACH,IT Support,VEND0445,Canada,China,Arms Dealing,APPROVED,
5eb8fe4f-b8d6-4fb3-b47c-08e6e44d1c34,05:32.2,COMP0030,PAYEE0091,1097.7,USD,ACH,Rent Payment,VEND0359,China,India,Healthcare,APPROVED,
fc216d21-4f52-414c-839f-3c10980e0e4a,07:32.2,COMP0090,PAYEE0421,929.69,GBP,Wire,Utilities,VEND0474,Japan,France,Shell Corporations,APPROVED,
932f2357-056a-4743-82b1-41f1dee128d6,05:32.2,COMP0046,PAYEE0346,1047.47,CAD,Credit Card,Office Supplies,VEND0071,Japan,India,Art & Antiques Dealers,APPROVED,
549e3076-dc3e-496e-824e-e2c7919ef7ff,03:32.2,COMP0062,PAYEE0359,401.44,USD,Bank Transfer,Consulting Services,VEND0367,Japan,Canada,Precious Metals Trading,APPROVED,
7ee33158-5bf1-42bf-84ce-62f836df0345,07:32.2,COMP0030,PAYEE0467,1275.39,GBP,Check,Maintenance Services,VEND0410,France,France,Art & Antiques Dealers,APPROVED,
ec13ae67-b7a8-458e-a4a9-86ae1bc7b174,16:32.2,COMP0071,PAYEE0490,1412.85,USD,Wire,Travel Expenses,VEND0021,USA,Australia,Education,APPROVED,
9f2f9c54-6495-4fba-b6c9-9254ae5adae1,45:32.2,COMP0075,PAYEE0369,1687.59,JPY,Check,Utilities,VEND0171,Brazil,Brazil,Finance,APPROVED,
a72f19ed-7cdf-441a-89f3-452fd8a02f4e,52:32.2,COMP0008,PAYEE0261,795.07,GBP,Bank Transfer,IT Support,VEND0198,USA,China,Manufacturing,APPROVED,
60dffe99-7f49-4e61-9b99-90c29089abd8,44:32.2,COMP0070,PAYEE0293,1423.12,CAD,Credit Card,IT Support,VEND0241,Japan,USA,Shell Corporations,APPROVED,
9542025a-332f-4759-860f-d17447e20926,46:32.2,COMP0094,PAYEE0378,1559.16,USD,ACH,IT Support,VEND0125,France,Canada,Energy,APPROVED,
